han,hex,dec
啊,554A,21834
阿,963F,38463
埃,57C3,22467
挨,6328,25384
哎,54CE,21710
唉,5509,21769
哀,54C0,21696
皑,7691,30353
癌,764C,30284
蔼,853C,34108
矮,77EE,30702
艾,827E,33406
碍,788D,30861
爱,7231,29233
隘,9698,38552
鞍,978D,38797
氨,6C28,27688
安,5B89,23433
俺,4FFA,20474
按,6309,25353
暗,6697,26263
岸,5CB8,23736
胺,80FA,33018
案,6848,26696
肮,80AE,32942
昂,6602,26114
盎,76CE,30414
凹,51F9,20985
敖,6556,25942
熬,71AC,29100
翱,7FF1,32753
袄,8884,34948
傲,50B2,20658
奥,5965,22885
懊,61CA,25034
澳,6FB3,28595
芭,82AD,33453
捌,634C,25420
扒,6252,25170
叭,53ED,21485
吧,5427,21543
笆,7B06,31494
八,516B,20843
疤,75A4,30116
巴,5DF4,24052
拔,62D4,25300
跋,8DCB,36299
靶,9776,38774
把,628A,25226
耙,8019,32793
坝,575D,22365
霸,9738,38712
罢,7F62,32610
爸,7238,29240
白,767D,30333
柏,67CF,26575
百,767E,30334
摆,6446,25670
佰,4F70,20336
败,8D25,36133
拜,62DC,25308
稗,7A17,31255
斑,6591,26001
班,73ED,29677
搬,642C,25644
扳,6273,25203
般,822C,33324
颁,9881,39041
板,677F,26495
版,7248,29256
扮,626E,25198
拌,62CC,25292
伴,4F34,20276
瓣,74E3,29923
半,534A,21322
办,529E,21150
绊,7ECA,32458
邦,90A6,37030
帮,5E2E,24110
梆,6886,26758
榜,699C,27036
膀,8180,33152
绑,7ED1,32465
棒,68D2,26834
磅,78C5,30917
蚌,868C,34444
镑,9551,38225
傍,508D,20621
谤,8C24,35876
苞,82DE,33502
胞,80DE,32990
包,5305,21253
褒,8912,35090
剥,5265,21093
薄,8584,34180
雹,96F9,38649
保,4FDD,20445
堡,5821,22561
饱,9971,39281
宝,5B9D,23453
抱,62B1,25265
报,62A5,25253
暴,66B4,26292
豹,8C79,35961
鲍,9C8D,40077
爆,7206,29190
杯,676F,26479
碑,7891,30865
悲,60B2,24754
卑,5351,21329
北,5317,21271
辈,8F88,36744
背,80CC,32972
贝,8D1D,36125
钡,94A1,38049
倍,500D,20493
狈,72C8,29384
备,5907,22791
惫,60EB,24811
焙,7119,28953
被,88AB,34987
奔,5954,22868
苯,82EF,33519
本,672C,26412
笨,7B28,31528
崩,5D29,23849
绷,7EF7,32503
甭,752D,29997
泵,6CF5,27893
蹦,8E66,36454
迸,8FF8,36856
逼,903C,36924
鼻,9F3B,40763
比,6BD4,27604
鄙,9119,37145
笔,7B14,31508
彼,5F7C,24444
碧,78A7,30887
蓖,84D6,34006
蔽,853D,34109
毕,6BD5,27605
毙,6BD9,27609
毖,6BD6,27606
币,5E01,24065
庇,5E87,24199
痹,75F9,30201
闭,95ED,38381
敝,655D,25949
弊,5F0A,24330
必,5FC5,24517
辟,8F9F,36767
壁,58C1,22721
臂,81C2,33218
避,907F,36991
陛,965B,38491
鞭,97AD,38829
边,8FB9,36793
编,7F16,32534
贬,8D2C,36140
扁,6241,25153
便,4FBF,20415
变,53D8,21464
卞,535E,21342
辨,8FA8,36776
辩,8FA9,36777
辫,8FAB,36779
遍,904D,36941
标,6807,26631
彪,5F6A,24426
膘,8198,33176
表,8868,34920
鳖,9CD6,40150
憋,618B,24971
别,522B,21035
瘪,762A,30250
彬,5F6C,24428
斌,658C,25996
濒,6FD2,28626
滨,6EE8,28392
宾,5BBE,23486
摈,6448,25672
兵,5175,20853
冰,51B0,20912
柄,67C4,26564
丙,4E19,19993
秉,79C9,31177
饼,997C,39292
炳,70B3,28851
病,75C5,30149
并,5E76,24182
玻,73BB,29627
菠,83E0,33760
播,64AD,25773
拨,62E8,25320
钵,94B5,38069
波,6CE2,27874
博,535A,21338
勃,52C3,21187
搏,640F,25615
铂,94C2,38082
箔,7B94,31636
伯,4F2F,20271
帛,5E1B,24091
舶,8236,33334
脖,8116,33046
膊,818A,33162
渤,6E24,28196
泊,6CCA,27850
驳,9A73,39539
捕,6355,25429
卜,535C,21340
哺,54FA,21754
补,8865,34917
埠,57E0,22496
不,4E0D,19981
