han,hex,dec
布,5E03,24067
步,6B65,27493
簿,7C3F,31807
部,90E8,37096
怖,6016,24598
擦,64E6,25830
猜,731C,29468
裁,88C1,35009
材,6750,26448
才,624D,25165
財,8CA1,36001
睬,776C,30572
踩,8E29,36393
采,91C7,37319
彩,5F69,24425
菜,83DC,33756
蔡,8521,34081
餐,9910,39184
參,53C3,21443
蠶,8836,34870
殘,6B98,27544
慚,615A,24922
慘,6158,24920
燦,71E6,29158
蒼,84BC,33980
艙,8259,33369
倉,5009,20489
滄,6EC4,28356
藏,85CF,34255
操,64CD,25805
糙,7CD9,31961
槽,69FD,27133
曹,66F9,26361
草,8349,33609
厠,53A0,21408
策,7B56,31574
側,5074,20596
册,518C,20876
測,6E2C,28204
層,5C64,23652
蹭,8E6D,36461
插,63D2,25554
叉,53C9,21449
茬,832C,33580
茶,8336,33590
查,67E5,26597
碴,78B4,30900
搽,643D,25661
察,5BDF,23519
岔,5C94,23700
差,5DEE,24046
詫,8A6B,35435
拆,62C6,25286
柴,67F4,26612
豺,8C7A,35962
攙,6519,25881
摻,647B,25723
蟬,87EC,34796
饞,995E,39262
讒,8B92,35730
纏,7E8F,32399
鏟,93DF,37855
産,7523,29987
闡,95E1,38369
顫,986B,39019
昌,660C,26124
猖,7316,29462
場,5834,22580
嘗,5617,22039
常,5E38,24120
長,9577,38263
償,511F,20767
腸,8178,33144
廠,5EE0,24288
敞,655E,25950
暢,66A2,26274
唱,5531,21809
倡,5021,20513
超,8D85,36229
抄,6284,25220
鈔,9214,37396
朝,671D,26397
嘲,5632,22066
潮,6F6E,28526
巢,5DE2,24034
吵,5435,21557
炒,7092,28818
車,8ECA,36554
扯,626F,25199
撤,64A4,25764
掣,63A3,25507
徹,5FB9,24505
澈,6F88,28552
郴,90F4,37108
臣,81E3,33251
辰,8FB0,36784
塵,5875,22645
晨,6668,26216
忱,5FF1,24561
沉,6C89,27785
陳,9673,38515
趁,8D81,36225
襯,896F,35183
撑,6491,25745
稱,7A31,31281
城,57CE,22478
橙,6A59,27225
成,6210,25104
呈,5448,21576
乘,4E58,20056
程,7A0B,31243
懲,61F2,25074
澄,6F84,28548
誠,8AA0,35488
承,627F,25215
逞,901E,36894
騁,9A01,39425
秤,79E4,31204
吃,5403,21507
痴,75F4,30196
持,6301,25345
匙,5319,21273
池,6C60,27744
遲,9072,36978
弛,5F1B,24347
馳,99B3,39347
耻,803B,32827
齒,9F52,40786
侈,4F88,20360
尺,5C3A,23610
赤,8D64,36196
翅,7FC5,32709
斥,65A5,26021
熾,71BE,29118
充,5145,20805
衝,885D,34909
蟲,87F2,34802
崇,5D07,23815
寵,5BF5,23541
抽,62BD,25277
酬,916C,37228
疇,7587,30087
躊,8E8A,36490
稠,7A20,31264
愁,6101,24833
籌,7C4C,31820
仇,4EC7,20167
綢,7DA2,32162
瞅,7785,30597
醜,919C,37276
臭,81ED,33261
初,521D,21021
出,51FA,20986
橱,6A71,27249
厨,53A8,21416
躇,8E87,36487
鋤,92E4,37604
雛,96DB,38619
滁,6EC1,28353
除,9664,38500
楚,695A,26970
礎,790E,30990
儲,5132,20786
矗,77D7,30679
搐,6410,25616
觸,89F8,35320
處,8655,34389
揣,63E3,25571
川,5DDD,24029
穿,7A7F,31359
椽,693D,26941
傳,50B3,20659
船,8239,33337
喘,5598,21912
串,4E32,20018
瘡,7621,30241
窗,7A97,31383
幢,5E62,24162
床,5E8A,24202
闖,95D6,38358
創,5275,21109
吹,5439,21561
炊,708A,28810
捶,6376,25462
錘,9318,37656
垂,5782,22402
春,6625,26149
椿,693F,26943
醇,9187,37255
唇,5507,21767
淳,6DF3,28147
純,7D14,32020
