han,hex,dec
㻫,3EEB,16107
㻬,3EEC,16108
㻰,3EF0,16112
㻳,3EF3,16115
㻴,3EF4,16116
㻺,3EFA,16122
㻼,3EFC,16124
㻿,3EFF,16127
㼀,3F00,16128
㼄,3F04,16132
㼆,3F06,16134
㼇,3F07,16135
㼎,3F0E,16142
㽓,3F53,16211
㽘,3F58,16216
㽙,3F59,16217
㽣,3F63,16227
㽼,3F7C,16252
㾓,3F93,16275
㿀,3FC0,16320
㿈,3FC8,16328
㿗,3FD7,16343
㿜,3FDC,16348
㿥,3FE5,16357
㿭,3FED,16365
㿹,3FF9,16377
㿺,3FFA,16378
䀄,4004,16388
䀉,4009,16393
䀝,401D,16413
䀹,4039,16441
䁅,4045,16453
䁓,4053,16467
䁗,4057,16471
䁢,4062,16482
䁥,4065,16485
䁪,406A,16490
䁯,406F,16495
䁱,4071,16497
䂨,40A8,16552
䂴,40B4,16564
䂻,40BB,16571
䂿,40BF,16575
䃈,40C8,16584
䃘,40D8,16600
䃟,40DF,16607
䃸,40F8,16632
䃺,40FA,16634
䄂,4102,16642
䄃,4103,16643
䄄,4104,16644
䄉,4109,16649
䄎,410E,16654
䄱,4131,16689
䄲,4132,16690
䅧,4167,16743
䅬,416C,16748
䅮,416E,16750
䅼,417C,16764
䅿,417F,16767
䆁,4181,16769
䆐,4190,16784
䆲,41B2,16818
䇄,41C4,16836
䇊,41CA,16842
䇏,41CF,16847
䇛,41DB,16859
䇭,41ED,16877
䇯,41EF,16879
䇹,41F9,16889
䈑,4211,16913
䈣,4223,16931
䉀,4240,16960
䉠,4260,16992
䉪,426A,17002
䉶,4276,17014
䉺,427A,17018
䊌,428C,17036
䊔,4294,17044
䊢,42A2,17058
䊵,42B5,17077
䊹,42B9,17081
䊼,42BC,17084
䋴,42F4,17140
䋻,42FB,17147
䋼,42FC,17148
䌊,430A,17162
䌫,432B,17195
䍮,436E,17262
䎗,4397,17303
䎚,439A,17306
䎺,43BA,17338
䏁,43C1,17345
䏙,43D9,17369
䏟,43DF,17375
䏭,43ED,17389
䏰,43F0,17392
䏲,43F2,17394
䐁,4401,17409
䐂,4402,17410
䐓,4413,17427
䐥,4425,17445
䐭,442D,17453
䑺,447A,17530
䒏,448F,17551
䒑,4491,17553
䒟,449F,17567
䒠,44A0,17568
䒢,44A2,17570
䒰,44B0,17584
䒷,44B7,17591
䒽,44BD,17597
䓀,44C0,17600
䓃,44C3,17603
䓅,44C5,17605
䓎,44CE,17614
䓝,44DD,17629
䓞,44DE,17630
䓟,44DF,17631
䓡,44E1,17633
䓤,44E4,17636
䓩,44E9,17641
䓪,44EA,17642
䓫,44EB,17643
䓬,44EC,17644
䓴,44F4,17652
䔃,4503,17667
䔄,4504,17668
䔉,4509,17673
䔋,450B,17675
䔖,4516,17686
䔛,451B,17691
䔝,451D,17693
