han,name,hex,dec
一,1,4E00,19968
丁,2,4E01,19969
七,3,4E03,19971
三,4,4E09,19977
下,5,4E0B,19979
上,6,4E0A,19978
丈,7,4E08,19976
丑,8,4E11,19985
丐,9,4E10,19984
不,10,4E0D,19981
丕,11,4E15,19989
丙,12,4E19,19993
世,13,4E16,19990
且,14,4E14,19988
丘,15,4E18,19992
丞,16,4E1E,19998
丟,17,4E1F,19999
並,18,4E26,20006
丫,19,4E2B,20011
中,20,4E2D,20013
串,21,4E32,20018
丸,22,4E38,20024
凡,23,51E1,20961
丹,24,4E39,20025
主,25,4E3B,20027
乃,26,4E43,20035
久,27,4E45,20037
之,28,4E4B,20043
尹,29,5C39,23609
乍,30,4E4D,20045
乏,31,4E4F,20047
乎,32,4E4E,20046
乒,33,4E52,20050
乓,34,4E53,20051
乖,35,4E56,20054
乘,36,4E58,20056
乙,37,4E59,20057
九,38,4E5D,20061
也,39,4E5F,20063
乞,40,4E5E,20062
乩,41,4E69,20073
乳,42,4E73,20083
乾,43,4E7E,20094
亂,44,4E82,20098
了,45,4E86,20102
予,46,4E88,20104
事,47,4E8B,20107
二,48,4E8C,20108
于,49,4E8E,20110
云,50,4E91,20113
井,51,4E95,20117
互,52,4E92,20114
五,53,4E94,20116
亙,54,4E99,20121
些,55,4E9B,20123
亞,56,4E9E,20126
亟,57,4E9F,20127
亡,58,4EA1,20129
交,59,4EA4,20132
亦,60,4EA6,20134
亥,61,4EA5,20133
亨,62,4EA8,20136
享,63,4EAB,20139
京,64,4EAC,20140
亭,65,4EAD,20141
亮,66,4EAE,20142
人,67,4EBA,20154
仁,68,4EC1,20161
什,69,4EC0,20160
仃,70,4EC3,20163
今,71,4ECA,20170
仄,72,4EC4,20164
仆,73,4EC6,20166
仇,74,4EC7,20167
仍,75,4ECD,20173
介,76,4ECB,20171
付,77,4ED8,20184
仔,78,4ED4,20180
仕,79,4ED5,20181
他,80,4ED6,20182
仗,81,4ED7,20183
代,82,4EE3,20195
令,83,4EE4,20196
仞,84,4EDE,20190
以,85,4EE5,20197
仙,86,4ED9,20185
仿,87,4EFF,20223
伉,88,4F09,20233
伙,89,4F19,20249
伊,90,4F0A,20234
伕,91,4F15,20245
伍,92,4F0D,20237
伐,93,4F10,20240
休,94,4F11,20241
伏,95,4F0F,20239
任,96,4EFB,20219
仳,97,4EF3,20211
仲,98,4EF2,20210
企,99,4F01,20225
件,100,4EF6,20214
仰,101,4EF0,20208
份,102,4EFD,20221
位,103,4F4D,20301
住,104,4F4F,20303
佇,105,4F47,20295
佗,106,4F57,20311
伴,107,4F34,20276
佞,108,4F5E,20318
佛,109,4F5B,20315
何,110,4F55,20309
估,111,4F30,20272
佐,112,4F50,20304
佑,113,4F51,20305
佈,114,4F48,20296
伽,115,4F3D,20285
伺,116,4F3A,20282
伸,117,4F38,20280
佃,118,4F43,20291
佔,119,4F54,20308
似,120,4F3C,20284
但,121,4F46,20294
佣,122,4F63,20323
作,123,4F5C,20316
你,124,4F60,20320
伯,125,4F2F,20271
低,126,4F4E,20302
伶,127,4F36,20278
余,128,4F59,20313
佝,129,4F5D,20317
佯,130,4F6F,20335
依,131,4F9D,20381
併,132,4F75,20341
侍,133,4F8D,20365
佳,134,4F73,20339
使,135,4F7F,20351
佬,136,4F6C,20332
供,137,4F9B,20379
例,138,4F8B,20363
來,139,4F86,20358
佰,140,4F70,20336
侃,141,4F83,20355
侈,142,4F88,20360
佩,143,4F69,20329
佻,144,4F7B,20347
侖,145,4F96,20374
侏,146,4F8F,20367
信,147,4FE1,20449
侵,148,4FB5,20405
侯,149,4FAF,20399
便,150,4FBF,20415
俠,151,4FE0,20448
俑,152,4FD1,20433
俏,153,4FCF,20431
保,154,4FDD,20445
促,155,4FC3,20419
侶,156,4FB6,20406
俚,157,4FDA,20442
俘,158,4FD8,20440
俟,159,4FDF,20447
俊,160,4FCA,20426
俗,161,4FD7,20439
侮,162,4FAE,20398
俐,163,4FD0,20432
俄,164,4FC4,20420
係,165,4FC2,20418
俎,166,4FCE,20430
俞,167,4FDE,20446
倌,168,500C,20492
倍,169,500D,20493
倣,170,5023,20515
俯,171,4FEF,20463
倦,172,5026,20518
倥,173,5025,20517
俸,174,4FF8,20472
倩,175,5029,20521
倖,176,5016,20502
倆,177,5006,20486
值,178,503C,20540
借,179,501F,20511
倚,180,501A,20506
倒,181,5012,20498
們,182,5011,20497
俺,183,4FFA,20474
倀,184,5000,20480
倔,185,5014,20500
倨,186,5028,20520
俱,187,4FF1,20465
倡,188,5021,20513
個,189,500B,20491
候,190,5019,20505
倘,191,5018,20504
俳,192,4FF3,20467
修,193,4FEE,20462
倭,194,502D,20525
倪,195,502A,20522
俾,196,4FFE,20478
倫,197,502B,20523
倉,198,5009,20489
偽,199,507D,20605
停,200,505C,20572
偏,201,504F,20559
假,202,5047,20551
偃,203,5043,20547
偌,204,504C,20556
做,205,505A,20570
偉,206,5049,20553
健,207,5065,20581
偶,208,5076,20598
偎,209,504E,20558
偕,210,5055,20565
偵,211,5075,20597
側,212,5074,20596
倏,213,500F,20495
偷,214,5077,20599
傢,215,50A2,20642
傍,216,508D,20621
傅,217,5085,20613
備,218,5099,20633
傑,219,5091,20625
傀,220,5080,20608
傖,221,5096,20630
傘,222,5098,20632
傭,223,50AD,20653
債,224,50B5,20661
傲,225,50B2,20658
傳,226,50B3,20659
僅,227,50C5,20677
傾,228,50BE,20670
催,229,50AC,20652
傷,230,50B7,20663
傻,231,50BB,20667
僧,232,50E7,20711
僮,233,50EE,20718
僱,234,50F1,20721
僥,235,50E5,20709
僭,236,50ED,20717
僖,237,50D6,20694
僚,238,50DA,20698
僕,239,50D5,20693
像,240,50CF,20687
僑,241,50D1,20689
億,242,5104,20740
儀,243,5100,20736
僻,244,50FB,20731
僵,245,50F5,20725
價,246,50F9,20729
儂,247,5102,20738
儈,248,5108,20744
儉,249,5109,20745
儐,250,5110,20752
儒,251,5112,20754
儘,252,5118,20760
儔,253,5114,20756
儲,254,5132,20786
優,255,512A,20778
償,256,511F,20767
儡,257,5121,20769
儷,258,5137,20791
儼,259,513C,20796
兀,260,5140,20800
元,261,5143,20803
允,262,5141,20801
兄,263,5144,20804
充,264,5145,20805
光,265,5149,20809
兇,266,5147,20807
兆,267,5146,20806
先,268,5148,20808
克,269,514B,20811
兑,270,5151,20817
免,271,514D,20813
兕,272,5155,20821
兔,273,5154,20820
兒,274,5152,20818
兗,275,5157,20823
兜,276,515C,20828
兢,277,5162,20834
入,278,5165,20837
內,279,5167,20839
全,280,5168,20840
兩,281,5169,20841
八,282,516B,20843
六,283,516D,20845
兮,284,516E,20846
公,285,516C,20844
共,286,5171,20849
兵,287,5175,20853
具,288,5177,20855
其,289,5176,20854
典,290,5178,20856
兼,291,517C,20860
冀,292,5180,20864
冉,293,5189,20873
冊,294,518A,20874
再,295,518D,20877
冒,296,5192,20882
冑,297,5191,20881
冕,298,5195,20885
最,299,6700,26368
冠,300,51A0,20896
冢,301,51A2,20898
冥,302,51A5,20901
冤,303,51A4,20900
冬,304,51AC,20908
冰,305,51B0,20912
冶,306,51B6,20918
冷,307,51B7,20919
冽,308,51BD,20925
凍,309,51CD,20941
凌,310,51CC,20940
准,311,51C6,20934
凋,312,51CB,20939
凜,313,51DC,20956
凝,314,51DD,20957
几,315,51E0,20960
凰,316,51F0,20976
凱,317,51F1,20977
凳,318,51F3,20979
凶,319,51F6,20982
凹,320,51F9,20985
出,321,51FA,20986
凸,322,51F8,20984
