han,hex,dec
䱛,4C5B,19547
䲁,4C81,19585
䲗,4C97,19607
䳍,4CCD,19661
䴈,4D08,19720
䴉,4D09,19721
个,4E2A,20010
仮,4EEE,20206
働,50CD,20685
儍,510D,20749
内,5185,20869
决,51B3,20915
凟,51DF,20959
凧,51E7,20967
凩,51E9,20969
凴,51F4,20980
刦,5226,21030
刧,5227,21031
勅,52C5,21189
卟,535F,21343
却,5374,21364
叾,53FE,21502
吲,5432,21554
呋,544B,21579
咔,5494,21652
哌,54CC,21708
哚,54DA,21722
唥,5525,21797
啉,5549,21833
啹,5579,21881
喐,5590,21904
喰,55B0,21936
喹,55B9,21945
嗪,55EA,21994
嗬,55EC,21996
嘣,5623,22051
噒,5652,22098
噔,5654,22100
噝,565D,22109
噺,567A,22138
噻,567B,22139
嚉,5689,22153
嚒,5692,22162
嚤,56A4,22180
嚱,56B1,22193
嚹,56B9,22201
囖,56D6,22230
国,56FD,22269
坺,577A,22394
堺,583A,22586
塀,5840,22592
塲,5872,22642
壳,58F3,22771
妬,59AC,22956
姉,59C9,22985
媪,5AAA,23210
寃,5BC3,23491
尅,5C05,23557
届,5C4A,23626
属,5C5E,23646
峠,5CE0,23776
廐,5ED0,24272
廹,5EF9,24313
弍,5F0D,24333
徧,5FA7,24487
忟,5FDF,24543
悤,60A4,24740
惗,60D7,24791
惣,60E3,24803
慽,617D,24957
憇,6187,24967
抝,629D,25245
揑,63D1,25553
搇,6407,25607
撍,648D,25741
撴,64B4,25780
晋,664B,26187
朶,6736,26422
条,6761,26465
栃,6803,26627
栞,681E,26654
梶,68B6,26806
楳,6973,26995
榅,6985,27013
榊,698A,27018
樋,6A0B,27147
樫,6A2B,27179
檫,6AAB,27307
欟,6B1F,27423
毡,6BE1,27617
気,6C17,27671
泪,6CEA,27882
浲,6D72,28018
涖,6D96,28054
湼,6E7C,28284
濶,6FF6,28662
瀬,702C,28716
炉,7089,28809
点,70B9,28857
烱,70F1,28913
焫,712B,28971
煅,7145,28997
煴,7174,29044
爕,7215,29205
犟,729F,29343
狍,72CD,29389
猄,7304,29444
猬,732C,29484
献,732E,29486
珉,73C9,29641
瑠,7460,29792
畓,7553,30035
畠,7560,30048
畧,7567,30055
疎,758E,30094
痃,75C3,30147
瘻,763B,30267
癎,764E,30286
癔,7654,30292
癧,7667,30311
発,767A,30330
瞖,7796,30614
砈,7808,30728
砹,7839,30777
碍,788D,30861
碱,78B1,30897
碸,78B8,30904
礆,7906,30982
秄,79C4,31172
竪,7AEA,31466
笋,7B0B,31499
粮,7CAE,31918
絝,7D5D,32093
綳,7DB3,32179
緼,7DFC,32252
繮,7E6E,32366
罉,7F49,32585
罎,7F4E,32590
罸,7F78,32632
肟,809F,32927
肼,80BC,32956
胩,80E9,33001
脎,810E,33038
脒,8112,33042
脚,811A,33050
腈,8148,33096
腖,8156,33110
腙,8159,33113
腽,817D,33149
膥,81A5,33189
臁,81C1,33217
舦,8226,33318
苄,82C4,33476
苝,82DD,33501
茋,830B,33547
茘,8318,33560
茚,831A,33562
萘,8418,33816
萜,841C,33820
蒄,8484,33924
蒽,84BD,33981
蘯,862F,34351
蛯,86EF,34543
蝰,8770,34672
蝲,8772,34674
蝽,877D,34685
螋,878B,34699
袜,889C,34972
覇,8987,35207
覥,89A5,35237
謴,8B34,35636
貛,8C9B,35995
賍,8CCD,36045
蹏,8E4F,36431
躭,8EAD,36525
軲,8EF2,36594
輼,8F3C,36668
辺,8FBA,36794
遖,9056,36950
酜,915C,37212
酞,915E,37214
酰,9170,37232
醌,918C,37260
鉕,9255,37461
鉢,9262,37474
鉨,9268,37480
鉮,926E,37486
鉳,9273,37491
銾,92BE,37566
錇,9307,37639
鍀,9340,37696
鍅,9345,37701
鍩,9369,37737
鎄,9384,37764
鎇,9387,37767
鎓,9393,37779
鎿,93BF,37823
鐦,9426,37926
鑥,9465,37989
雫,96EB,38635
靭,976D,38765
韮,97EE,38894
韵,97F5,38901
顬,986C,39020
飈,98C8,39112
饍,994D,39245
饝,995D,39261
饢,9962,39266
駅,99C5,39365
駡,99E1,39393
骺,9ABA,39610
骶,9AB6,39606
髈,9AC8,39624
髎,9ACE,39630
鬭,9B2D,39725
鮁,9B81,39809
鮃,9B83,39811
鮄,9B84,39812
鮗,9B97,39831
鮟,9B9F,39839
鮣,9BA3,39843
鮰,9BB0,39856
鮻,9BBB,39867
鯒,9BD2,39890
鯮,9BEE,39918
鯱,9BF1,39921
鯿,9BFF,39935
鰏,9C0F,39951
鰕,9C15,39957
鰛,9C1B,39963
鰮,9C2E,39982
鰯,9C2F,39983
鰵,9C35,39989
鰺,9C3A,39994
鱇,9C47,40007
鱚,9C5A,40026
鱝,9C5D,40029
鱰,9C70,40048
鴴,9D34,40244
鵐,9D50,40272
鶓,9D93,40339
鷉,9DC9,40393
鵾,9D7E,40318
鸊,9E0A,40458
麫,9EAB,40619
麿,9EBF,40639
鼦,9F26,40742
鼹,9F39,40761
鿫,9FEB,40939
鿬,9FEC,40940
鿽,9FFD,40957
𠵝,20D5D,134493
𠻘,20ED8,134872
𠼮,20F2E,134958
𡀔,21014,135188
𡰪,21C2A,138282
𡲢,21CA2,138402
𢫏,22ACF,142031
𣚺,236BA,145082
𤘅,24605,148997
𥅾,2517E,151934
𦢊,2688A,157834
𧿁,27FC1,163777
𨃩,280E9,164073
㗒,35D2,13778
㗳,35F3,13811
㞗,3797,14231
㦸,39B8,14776
㧸,39F8,14840
㨃,3A03,14851
㩜,3A5C,14940
㷧,3DE7,15847
䁓,4053,16467
䁥,4065,16485
䂻,40BB,16571
䉵,4275,17013
䒷,44B7,17591
䗩,45E9,17897
䘆,4606,17926
䚎,468E,18062
䜇,4707,18183
䟴,47F4,18420
䥑,4951,18769
䭾,4B7E,19326
䰄,4C04,19460
䰻,4C3B,19515
䰾,4C3E,19518
䱋,4C4B,19531
䱗,4C57,19543
亀,4E80,20096
仏,4ECF,20175
伃,4F03,20227
伲,4F32,20274
伹,4F39,20281
侫,4FAB,20395
俣,4FE3,20451
俤,4FE4,20452
俥,4FE5,20453
俲,4FF2,20466
俽,4FFD,20477
倮,502E,20526
偖,5056,20566
偬,506C,20588
傦,50A6,20646
僙,50D9,20697
儁,5101,20737
凑,51D1,20945
凓,51D3,20947
刟,521F,21023
剗,5257,21079
剠,5260,21088
剨,5268,21096
剳,5273,21107
劚,529A,21146
勑,52D1,21201
勠,52E0,21216
勡,52E1,21217
匁,5301,21249
匂,5302,21250
匬,532C,21292
匲,5332,21298
匳,5333,21299
医,533B,21307
厪,53AA,21418
厫,53AB,21419
厮,53AE,21422
厾,53BE,21438
叚,53DA,21466
呩,5469,21609
咜,549C,21660
咹,54B9,21689
唨,5528,21800
啳,5573,21875
嗮,55EE,21998
嗻,55FB,22011
嘑,5611,22033
嘚,561A,22042
嘠,5620,22048
嘷,5637,22071
噼,567C,22140
嚞,569E,22174
园,56ED,22253
囲,56F2,22258
圕,5715,22293
坆,5746,22342
坟,575F,22367
坧,5767,22375
垰,57B0,22448
埝,57DD,22493
埦,57E6,22502
堦,5826,22566
塄,5844,22596
塳,5873,22643
墰,58B0,22704
壜,58DC,22748
壻,58FB,22779
妷,59B7,22967
姙,59D9,23001
姫,59EB,23019
姹,59F9,23033
婣,5A63,23139
宂,5B82,23426
宍,5B8D,23437
尠,5C20,23584
峑,5CD1,23761
峩,5CE9,23785
嵆,5D46,23878
嵗,5D57,23895
嶎,5D8E,23950
巵,5DF5,24053
帋,5E0B,24075
帒,5E12,24082
帮,5E2E,24110
幞,5E5E,24158
広,5E83,24195
廍,5ECD,24269
弌,5F0C,24332
彍,5F4D,24397
徤,5FA4,24484
徺,5FBA,24506
恷,6077,24695
悞,609E,24734
悧,60A7,24743
悳,60B3,24755
惧,60E7,24807
惩,60E9,24809
惪,60EA,24810
惽,60FD,24829
愰,6130,24880
慂,6142,24898
慙,6159,24921
慜,615C,24924
憙,6199,24985
憜,619C,24988
懢,61E2,25058
戹,6239,25145
扨,6268,25192
抂,6282,25218
抅,6285,25221
拕,62D5,25301
挵,6335,25397
捬,636C,25452
擀,64C0,25792
擪,64EA,25834
斅,6585,25989
斆,6586,25990
昷,6637,26167
晈,6648,26184
晧,6667,26215
暎,668E,26254
朌,670C,26380
朞,671E,26398
朥,6725,26405
枠,67A0,26528
枬,67AC,26540
柹,67F9,26617
柾,67FE,26622
栂,6802,26626
棊,68CA,26826
椀,6900,26880
椁,6901,26881
椙,6919,26905
椚,691A,26906
椛,691B,26907
椬,692C,26924
椾,693E,26942
楕,6955,26965
楾,697E,27006
榀,6980,27008
榁,6981,27009
榘,6998,27032
榲,69B2,27058
槀,69C0,27072
槝,69DD,27101
槩,69E9,27113
槺,69FA,27130
橒,6A52,27218
橺,6A7A,27258
檝,6A9D,27293
檲,6AB2,27314
櫊,6ACA,27338
欝,6B1D,27421
欵,6B35,27445
歒,6B52,27474
毺,6BFA,27642
汹,6C79,27769
泎,6CCE,27854
洤,6D24,27940
涹,6DB9,28089
湏,6E4F,28239
滝,6EDD,28381
潜,6F5C,28508
濚,6FDA,28634
灾,707E,28798
炁,7081,28801
烕,70D5,28885
焴,7134,28980
煱,7171,29041
煶,7176,29046
牐,7250,29264
牕,7255,29269
犇,7287,29319
犲,72B2,29362
狢,72E2,29410
独,72EC,29420
猂,7302,29442
猨,7328,29480
獏,734F,29519
獱,7371,29553
琹,7439,29753
瑝,745D,29789
瓧,74E7,29927
瓰,74F0,29936
瓱,74F1,29937
瓲,74F2,29938
瓸,74F8,29944
甅,7505,29957
甎,750E,29966
甞,751E,29982
畆,7546,30022
畊,754A,30026
畲,7572,30066
畺,757A,30074
瘇,7607,30215
癀,7640,30272
癍,764D,30285
癯,766F,30319
皐,7690,30352
皡,76A1,30369
盌,76CC,30412
盖,76D6,30422
眤,7724,30500
眦,7726,30502
眫,772B,30507
瞹,77B9,30649
矾,77FE,30718
硓,7853,30803
硲,7872,30834
硴,7874,30836
碯,78AF,30895
磓,78D3,30931
磘,78D8,30936
礮,792E,31022
礴,7934,31028
禝,799D,31133
禩,79A9,31145
秌,79CC,31180
秔,79D4,31188
稭,7A2D,31277
稾,7A3E,31294
穉,7A49,31305
穽,7A7D,31357
窻,7ABB,31419
竈,7AC8,31432
竉,7AC9,31433
竍,7ACD,31437
竓,7AD3,31443
竚,7ADA,31450
竜,7ADC,31452
竝,7ADD,31453
笔,7B14,31508
笟,7B1F,31519
箒,7B92,31634
箣,7BA3,31651
篏,7BCF,31695
篼,7BFC,31740
籂,7C42,31810
籑,7C51,31825
籝,7C5D,31837
籰,7C70,31856
籾,7C7E,31870
粂,7C82,31874
粃,7C83,31875
粆,7C86,31878
粦,7CA6,31910
粬,7CAC,31916
糀,7CC0,31936
糂,7CC2,31938
糇,7CC7,31943
糚,7CDA,31962
絍,7D4D,32077
緜,7DDC,32220
緵,7DF5,32245
縧,7E27,32295
纐,7E90,32400
罇,7F47,32583
罱,7F71,32625
耝,801D,32797
聛,805B,32859
聢,8062,32866
聣,8063,32867
聦,8066,32870
脃,8103,33027
脉,8109,33033
脌,810C,33036
腚,815A,33114
臈,81C8,33224
臯,81EF,33263
臶,81F6,33270
舚,821A,33306
艢,8262,33378
苐,82D0,33488
苽,82FD,33533
莅,8385,33669
莾,83BE,33726
萠,8420,33824
葓,8453,33875
蒀,8480,33920
蒓,8493,33939
蒕,8495,33941
蒭,84AD,33965
蓚,84DA,34010
蕋,854B,34123
蕰,8570,34160
蘂,8602,34306
蘐,8610,34320
虬,866C,34412
蚲,86B2,34482
蝱,8771,34673
螌,878C,34700
螠,87A0,34720
螥,87A5,34725
螩,87A9,34729
蟁,87C1,34753
蟖,87D6,34774
蟮,87EE,34798
蠏,880F,34831
蠭,882D,34861
衂,8842,34882
衅,8845,34885
衮,886E,34926
袠,88A0,34976
袵,88B5,34997
襃,8943,35139
襍,894D,35149
覉,8989,35209
覔,8994,35220
覩,89A9,35241
覼,89BC,35260
詧,8A67,35431
詾,8A7E,35454
謌,8B0C,35596
謭,8B2D,35629
譃,8B43,35651
讁,8B81,35713
貭,8CAD,36013
贌,8D0C,36108
贘,8D18,36120
赥,8D65,36197
趦,8DA6,36262
跔,8DD4,36308
踁,8E01,36353
踨,8E28,36392
蹵,8E75,36469
蹷,8E77,36471
躧,8EA7,36519
躾,8EBE,36542
輙,8F19,36633
輭,8F2D,36653
轜,8F5C,36700
辠,8FA0,36768
辷,8FB7,36791
迚,8FDA,36826
遌,904C,36940
遡,9061,36961
郄,90C4,37060
酑,9151,37201
酙,9159,37209
酧,9167,37223
酼,917C,37244
醎,918E,37262
醻,91BB,37307
釾,91FE,37374
鉝,925D,37469
鍈,9348,37704
鍫,936B,37739
鍮,936E,37742
鎶,93B6,37814
閗,9597,38295
閧,95A7,38311
闘,95D8,38360
阳,9633,38451
阴,9634,38452
阸,9638,38456
陁,9641,38465
隁,9681,38529
隖,9696,38550
隽,96BD,38589
霃,9703,38659
霡,9721,38689
霱,9731,38705
靝,975D,38749
靟,975F,38751
鞟,979F,38815
鞴,97B4,38836
鞺,97BA,38842
韈,97C8,38856
頟,981F,38943
頮,982E,38958
顇,9847,38983
顋,984B,38987
顖,9856,38998
顦,9866,39014
颴,98B4,39092
飜,98DC,39132
飦,98E6,39142
餹,9939,39225
餻,993B,39227
饂,9942,39234
饊,994A,39242
駄,99C4,39364
駚,99DA,39386
騌,9A0C,39436
騐,9A10,39440
骽,9ABD,39613
髗,9AD7,39639
髢,9AE2,39650
髴,9AF4,39668
髿,9AFF,39679
鬂,9B02,39682
鬉,9B09,39689
鬪,9B2A,39722
鮊,9B8A,39818
鮌,9B8C,39820
鮍,9B8D,39821
鮏,9B8F,39823
鮘,9B98,39832
鮝,9B9D,39837
鯏,9BCF,39887
鯝,9BDD,39901
鰊,9C0A,39946
鰃,9C03,39939
鰌,9C0C,39948
鰐,9C10,39952
鰟,9C1F,39967
鰧,9C27,39975
鱂,9C42,40002
鱅,9C45,40005
鱏,9C4F,40015
鱓,9C53,40019
鱤,9C64,40036
鱥,9C65,40037
鴂,9D02,40194
鴓,9D13,40211
鵄,9D44,40260
鶥,9DA5,40357
鶫,9DAB,40363
鷀,9DC0,40384
鸜,9E1C,40476
麁,9E81,40577
麄,9E84,40580
麐,9E90,40592
麕,9E95,40597
麖,9E96,40598
麘,9E98,40600
麞,9E9E,40606
麨,9EA8,40616
鼂,9F02,40706
鼗,9F17,40727
鼧,9F27,40743
齅,9F45,40773
齓,9F53,40787
齚,9F5A,40794
齩,9F69,40809
龎,9F8E,40846
龥,9FA5,40869
𠜎,2070E,132878
𠜱,20731,132913
𠱓,20C53,134227
𠳔,20CD4,134356
𠳕,20CD5,134357
𠴕,20D15,134421
𠵿,20D7F,134527
𠸎,20E0E,134670
𠸏,20E0F,134671
𠹷,20E77,134775
𠻗,20ED7,134871
𠻺,20EFA,134906
𠼻,20F3B,134971
𠾴,20FB4,135092
𠾼,20FBC,135100
𠽾,20F7E,135038
𠾐,20F90,135056
𡁯,2106F,135279
𡁵,21075,135285
𡁶,21076,135286
𡃉,210C9,135369
𡂫,210AB,135339
𡇙,211D9,135641
𡝭,2176D,137069
𡳞,21CDE,138462
𡷑,21DD1,138705
