han,name,hex,dec,note
荸,3456,8378,33656,
莢,3457,83A2,33698,
莖,3458,8396,33686,
莽,3459,83BD,33725,
莫,3460,83AB,33707,
莒,3461,8392,33682,
莊,3462,838A,33674,
莓,3463,8393,33683,
莉,3464,8389,33673,
莠,3465,83A0,33696,
荷,3466,8377,33655,
荻,3467,837B,33659,
荼,3468,837C,33660,
菩,3469,83E9,33769,
萃,3470,8403,33795,
菸,3471,83F8,33784,
萍,3472,840D,33805,
菠,3473,83E0,33760,
菅,3474,83C5,33733,
萋,3475,840B,33803,
菁,3476,83C1,33729,
華,3477,83EF,33775,
菱,3478,83F1,33777,
著,3479,8457,33879,
萊,3480,840A,33802,
菰,3481,83F0,33776,
萌,3482,840C,33804,
菌,3483,83CC,33740,
菽,3484,83FD,33789,
菲,3485,83F2,33778,
菊,3486,83CA,33738,
萸,3487,8438,33848,
萎,3488,840E,33806,
萄,3489,8404,33796,
菜,3490,83DC,33756,
蒂,3491,8482,33922,
葷,3492,8477,33911,
落,3493,843D,33853,
萱,3494,8431,33841,
葵,3495,8475,33909,
葦,3496,8466,33894,
葫,3497,846B,33899,
葉,3498,8449,33865,
葬,3499,846C,33900,
葛,3500,845B,33883,
萼,3501,843C,33852,
萵,3502,8435,33845,
葱,3503,8471,33905,
蔥,3503V,8525,34085,
葡,3504,8461,33889,
董,3505,8463,33891,
葩,3506,8469,33897,
蓑,3507,84D1,34001,
蓉,3508,84C9,33993,
蒿,3509,84BF,33983,
蓆,3510,84C6,33990,
蓄,3511,84C4,33988,
蒙,3512,8499,33945,
蒞,3513,849E,33950,
蒲,3514,84B2,33970,
蒜,3515,849C,33948,
蓋,3516,84CB,33995,
蒸,3517,84B8,33976,
蓀,3518,84C0,33984,
蓓,3519,84D3,34003,
蒐,3520,8490,33936,
蒼,3521,84BC,33980,
蔗,3522,8517,34071,
蔽,3523,853D,34109,
蔚,3524,851A,34074,
蓮,3525,84EE,34030,
蔭,3526,852D,34093,
蓬,3527,84EC,34028,
蔓,3528,8513,34067,
蔑,3529,8511,34065,
蔣,3530,8523,34083,
蔡,3531,8521,34081,
蔔,3532,8514,34068,
蔬,3533,852C,34092,
蕊,3534,854A,34122,
蕩,3535,8569,34153,
蕙,3536,8559,34137,
蕨,3537,8568,34152,
蕃,3538,8543,34115,
蕉,3539,8549,34121,
蕪,3540,856A,34154,
薪,3541,85AA,34218,
薄,3542,8584,34180,
蕭,3543,856D,34157,
蕾,3544,857E,34174,
薑,3545,8591,34193,
薔,3546,8594,34196,
薯,3547,85AF,34223,
薛,3548,859B,34203,
薇,3549,8587,34183,
薩,3550,85A9,34217,
藍,3551,85CD,34253,
藉,3552,85C9,34249,
薰,3553,85B0,34224,
藐,3554,85D0,34256,
藏,3555,85CF,34255,
藩,3556,85E9,34281,
藝,3557,85DD,34269,
藪,3558,85EA,34282,
藕,3559,85D5,34261,
藤,3560,85E4,34276,
藥,3561,85E5,34277,
藴,3562,85F4,34292,
蘊,3562V,860A,34314,
藹,3563,85F9,34297,
蘑,3564,8611,34321,
藻,3565,85FB,34299,
蘆,3566,8606,34310,
蘋,3567,860B,34315,
藺,3568,85FA,34298,
蘇,3569,8607,34311,
蘭,3570,862D,34349,
蘚,3571,861A,34330,
蘸,3572,8638,34360,
蘿,3573,863F,34367,
虎,3574,864E,34382,
虐,3575,8650,34384,
虔,3576,8654,34388,
處,3577,8655,34389,
彪,3578,5F6A,24426,
虛,3579,865B,34395,
虞,3580,865E,34398,
虜,3581,865C,34396,
號,3582,865F,34399,
虧,3583,8667,34407,
虫,3584,866B,34411,
虱,3585,8671,34417,
虯,3586,866F,34415,
虹,3587,8679,34425,
蚊,3588,868A,34442,
蚪,3589,86AA,34474,
蚓,3590,8693,34451,
蚤,3591,86A4,34468,
蚩,3592,86A9,34473,
蚌,3593,868C,34444,
蚣,3594,86A3,34467,
蛇,3595,86C7,34503,
蛀,3596,86C0,34496,
蚶,3597,86B6,34486,
蛋,3598,86CB,34507,
