han,hex,dec
坟,575F,22367
抗,6297,25239
坑,5751,22353
坊,574A,22346
抖,6296,25238
护,62A4,25252
壳,58F3,22771
志,5FD7,24535
扭,626D,25197
块,5757,22359
声,58F0,22768
把,628A,25226
报,62A5,25253
却,5374,21364
劫,52AB,21163
芽,82BD,33469
花,82B1,33457
芹,82B9,33465
芬,82AC,33452
苍,82CD,33485
芳,82B3,33459
严,4E25,20005
芦,82A6,33446
劳,52B3,21171
克,514B,20811
苏,82CF,33487
杆,6746,26438
杠,6760,26464
杜,675C,26460
材,6750,26448
村,6751,26449
杏,674F,26447
极,6781,26497
李,674E,26446
杨,6768,26472
求,6C42,27714
更,66F4,26356
束,675F,26463
豆,8C46,35910
两,4E24,20004
丽,4E3D,20029
医,533B,21307
辰,8FB0,36784
励,52B1,21169
否,5426,21542
还,8FD8,36824
歼,6B7C,27516
来,6765,26469
连,8FDE,36830
步,6B65,27493
坚,575A,22362
旱,65F1,26097
盯,76EF,30447
呈,5448,21576
时,65F6,26102
吴,5434,21556
助,52A9,21161
县,53BF,21439
里,91CC,37324
呆,5446,21574
园,56ED,22253
旷,65F7,26103
围,56F4,22260
呀,5440,21568
吨,5428,21544
足,8DB3,36275
邮,90AE,37038
男,7537,30007
困,56F0,22256
吵,5435,21557
串,4E32,20018
员,5458,21592
听,542C,21548
吩,5429,21545
吹,5439,21561
呜,545C,21596
吧,5427,21543
吼,543C,21564
别,522B,21035
岗,5C97,23703
帐,5E10,24080
财,8D22,36130
针,9488,38024
钉,9489,38025
告,544A,21578
我,6211,25105
乱,4E71,20081
利,5229,21033
秃,79C3,31171
秀,79C0,31168
私,79C1,31169
每,6BCF,27599
兵,5175,20853
估,4F30,20272
体,4F53,20307
何,4F55,20309
但,4F46,20294
伸,4F38,20280
作,4F5C,20316
伯,4F2F,20271
伶,4F36,20278
佣,4F63,20323
低,4F4E,20302
你,4F60,20320
住,4F4F,20303
位,4F4D,20301
伴,4F34,20276
身,8EAB,36523
皂,7682,30338
佛,4F5B,20315
近,8FD1,36817
